timestamp_s,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
17.400000,50912.847656,-4549.541016,-8668.520508,-2603.419434,-3763.966797,17446.945312,33176.851562,3469.102539,-40294.675781,-66905.968750,-42921.406250,-68281.273438,-81995.718750,-67002.437500,-46041.128906,-62159.597656
17.408000,50906.632812,-4554.815918,-8674.666992,-2611.019043,-3772.236816,17434.361328,33163.214844,3484.011230,-40295.343750,-66895.351562,-42896.863281,-68285.320312,-82002.625000,-66996.023438,-46019.335938,-62050.074219
17.416000,50906.230469,-4554.682129,-8669.079102,-2610.974365,-3768.392334,17438.964844,33170.503906,3446.572021,-40291.902344,-66902.484375,-42920.378906,-68271.640625,-81998.023438,-67001.054688,-46042.781250,-62157.160156
17.424000,50900.734375,-4556.693848,-8673.818359,-2605.229980,-3764.659668,17443.390625,33171.531250,3500.774902,-40288.304688,-66891.039062,-42891.722656,-68272.640625,-81997.460938,-66991.710938,-46012.855469,-62055.035156
17.432000,50891.835938,-4557.163086,-8673.818359,-2600.804199,-3763.407959,17440.507812,33169.832031,3436.357178,-40294.160156,-66895.328125,-42920.578125,-68266.500000,-81989.664062,-66987.843750,-46028.187500,-62144.019531
17.440000,50894.632812,-4558.414551,-8675.270508,-2605.185303,-3765.777100,17442.853516,33170.660156,3510.855469,-40298.453125,-66889.984375,-42898.070312,-68271.640625,-81998.085938,-66983.570312,-46011.199219,-62058.500000
17.448000,50893.246094,-4554.682129,-8668.364258,-2605.609863,-3759.675293,17431.388672,33168.828125,3423.683838,-40294.136719,-66900.539062,-42920.691406,-68270.382812,-81990.625000,-66993.453125,-46039.093750,-62140.824219
17.456000,50896.417969,-4554.369141,-8665.324219,-2603.933594,-3754.131836,17444.597656,33180.449219,3518.634033,-40293.511719,-66891.593750,-42894.449219,-68278.429688,-81992.523438,-66989.140625,-46016.476562,-62076.203125
17.464000,50890.339844,-4556.626465,-8673.773438,-2608.135742,-3757.104736,17423.519531,33165.472656,3413.245605,-40296.796875,-66902.976562,-42919.058594,-68274.562500,-81984.343750,-66996.312500,-46031.472656,-62130.250000
17.472000,50895.816406,-4555.084473,-8672.767578,-2604.984131,-3764.458496,17445.939453,33174.324219,3519.483398,-40297.601562,-66895.820312,-42902.074219,-68271.054688,-81997.109375,-66992.578125,-46016.429688,-62093.906250
17.480000,50892.867188,-4555.844238,-8669.325195,-2604.827637,-3759.742188,17427.945312,33163.148438,3405.824707,-40297.847656,-66906.195312,-42922.500000,-68272.734375,-81992.945312,-66998.796875,-46032.546875,-62123.121094
